LINKNO,subw_4,subw_5,subw_6,subw_7,Subw_8
54454,504,69,19,5,1
54230,504,69,19,5,1
36085,504,69,19,5,1
53782,407,111,19,5,1
53334,469,139,22,5,1
53110,469,139,22,5,1
52886,407,111,19,5,1
52662,407,111,19,5,1
57367,407,111,19,5,1
48406,469,139,22,5,1
52214,411,128,22,5,1
51990,411,128,22,5,1
51766,411,128,22,5,1
51542,411,128,22,5,1
51318,411,128,22,5,1
51094,411,128,22,5,1
4727,462,111,19,5,1
31829,411,128,22,5,1
50422,407,111,19,5,1
50198,407,111,19,5,1
49974,407,111,19,5,1
49526,375,102,22,5,1
49302,375,102,22,5,1
49078,407,111,19,5,1
48854,407,111,19,5,1
48630,407,111,19,5,1
48182,407,111,19,5,1
47734,407,111,19,5,1
49527,407,111,19,5,1
25334,469,139,22,5,1
21974,411,128,22,5,1
28917,407,111,19,5,1
29141,375,102,22,5,1
47286,462,111,19,5,1
47062,462,111,19,5,1
46838,462,111,19,5,1
46614,462,111,19,5,1
46390,462,111,19,5,1
46166,174,69,19,5,1
45942,462,111,19,5,1
45718,174,69,19,5,1
45270,441,69,19,5,1
45046,462,111,19,5,1
44822,174,69,19,5,1
44598,462,111,19,5,1
44150,441,69,19,5,1
43702,462,111,19,5,1
43254,462,111,19,5,1
43030,441,69,19,5,1
42806,174,69,19,5,1
42582,462,111,19,5,1
42358,462,111,19,5,1
42134,441,69,19,5,1
41910,462,111,19,5,1
41686,462,111,19,5,1
41462,174,69,19,5,1
41238,174,69,19,5,1
41014,462,111,19,5,1
40790,174,69,19,5,1
40566,174,69,19,5,1
40342,174,69,19,5,1
40118,174,69,19,5,1
39894,462,111,19,5,1
